活动名称,开始时间,结束时间,共计勤劳积分,获得勤劳积分的会员数,最高勤劳积分,最低勤劳积分
2016/05/27（01期）,2016-05-27 00:00:00,2016-05-27 01:40:00,174,11,17,1
2016/05/27（02期）,2016-05-27 02:00:00,2016-05-27 03:40:00,60,5,3,1
2016/05/27（03期）,2016-05-27 04:00:00,2016-05-27 05:40:00,3,1,1,1
2016/05/27（04期）,2016-05-27 06:00:00,2016-05-27 07:40:00,5,2,1,1
2016/05/27（05期）,2016-05-27 08:00:00,2016-05-27 09:40:00,90,13,4,1
2016/05/27（06期）,2016-05-27 10:00:00,2016-05-27 11:40:00,74,7,4,1
2016/05/27（07期）,2016-05-27 12:00:00,2016-05-27 13:40:00,188,15,10,1
2016/05/27（08期）,2016-05-27 14:00:00,2016-05-27 15:40:00,188,15,12,1
2016/05/27（09期）,2016-05-27 16:00:00,2016-05-27 17:40:00,208,18,21,1
2016/05/27（10期）,2016-05-27 18:00:00,2016-05-27 19:40:00,190,14,17,1
2016/05/27（11期）,2016-05-27 20:00:00,2016-05-27 21:40:00,96,10,8,1
2016/05/27（12期）,2016-05-27 22:00:00,2016-05-27 23:40:00,196,12,12,1
